name,month,total_sold
Air Conditioner 1.5T,2026-02,1.0
Air Conditioner 1.5T,2026-03,1.0
Air Conditioner 1.5T,2026-04,1.0
Air Conditioner 1.5T,2026-05,1.0
Air Conditioner 1.5T,2026-06,1.0
Backpack,2026-02,1.0
Backpack,2026-04,1.0
Backpack,2026-06,2.0
Bluetooth Speaker,2026-02,2.0
Bluetooth Speaker,2026-03,1.0
Bluetooth Speaker,2026-05,1.0
Cookbook,2026-02,1.0
Cookbook,2026-04,1.0
Cookbook,2026-06,1.0
Fiction Novel,2026-02,3.0
Fiction Novel,2026-04,2.0
Fiction Novel,2026-06,3.0
Formal Shoes,2026-02,1.0
Formal Shoes,2026-04,1.0
Formal Shoes,2026-05,1.0
Jeans,2026-01,2.0
Jeans,2026-04,1.0
Jeans,2026-05,1.0
Laptop Pro 15,2026-01,1.0
Laptop Pro 15,2026-03,2.0
Laptop Pro 15,2026-04,1.0
Laptop Pro 15,2026-05,1.0
Leather Wallet,2026-02,1.0
Leather Wallet,2026-04,1.0
Leather Wallet,2026-06,1.0
"LED TV 42""",2026-01,1.0
"LED TV 42""",2026-03,1.0
"LED TV 42""",2026-05,1.0
Men’s T-Shirt,2026-01,3.0
Men’s T-Shirt,2026-03,4.0
Men’s T-Shirt,2026-04,3.0
Men’s T-Shirt,2026-05,2.0
Microwave Oven,2026-01,1.0
Microwave Oven,2026-03,1.0
Microwave Oven,2026-05,1.0
Mixer Grinder,2026-02,1.0
Mixer Grinder,2026-03,1.0
Mixer Grinder,2026-05,1.0
Refrigerator 300L,2026-01,1.0
Refrigerator 300L,2026-03,1.0
Refrigerator 300L,2026-04,1.0
Refrigerator 300L,2026-05,1.0
Refrigerator 300L,2026-06,1.0
Smartphone X1,2026-01,1.0
Smartphone X1,2026-03,1.0
Smartphone X1,2026-05,1.0
Sneakers,2026-01,1.0
Sneakers,2026-03,2.0
Sneakers,2026-04,1.0
Sneakers,2026-05,1.0
Sports Watch,2026-02,2.0
Sports Watch,2026-04,2.0
Sports Watch,2026-06,2.0
Washing Machine,2026-02,1.0
Washing Machine,2026-03,2.0
Washing Machine,2026-05,2.0
Wireless Earbuds,2026-01,2.0
Wireless Earbuds,2026-03,3.0
Wireless Earbuds,2026-04,1.0
Wireless Earbuds,2026-05,2.0
Wireless Earbuds,2026-06,1.0
Women’s Dress,2026-01,2.0
Women’s Dress,2026-03,1.0
Women’s Dress,2026-04,3.0
Women’s Dress,2026-05,1.0
Women’s Dress,2026-06,2.0
